Comments,,
These people are true fascists. We need to dismantle this apartheid atrocity.,,
"They are not soldiers, they are EXTREMIST and EVILDOERS ",,
"All dogs have their eyes on the $500 billion worth of gas, and everyone is eager for their share.",,
Pray for palestine ,,
Pray for palestine ,,
Palestine must be freed,,
Bullshit. Completely fake.,,
"Not Israeli soldiers, not wearing standard or specialized issued IDF boots, Guess you forgot that little detail while producing the video.",,
Busted!! #Pallywood Take number #47373  IDF soldiers with sport shoes and AliExpress vest ,,
Free Palestine,,
"A country that asserts its power is waging war against women, children and common citizens, the rules of war are being broken every day, and the world is silent even as the world watches, humanity is collapsing in the world. STOP THE GENOCIDE
#FreePalestine #FreeGazaNow",,
"It's important for Americans to pay attention to events like this one - not just in Israel and the West Bank, but around the world. Foreign policy and international affairs can have a big impact on American lives and our economy, whether it's through trade, immigration, national…",,
IDF Soldiers laughing About Murdering the people of Gaza. *All the Detergent in the World cant make you Clean!*,,
It’s kinda like this video:,,
 An eye for an eye makes both sides blind. This will never end.,,
The Hindutva gang members in India using Diwali festival crackers video of Delhi to equate and celebrate like that of Israel bombing of Gaza. twitter.com/SudarshanNewsT…,,
Don’t care ,,
 An eye for an eye makes both sides blind. This will never end.,,
Liars.,,
"Hamas brutally beat Gaza civilians who were tired of getting food from humanitarian aid trucks.  Hamas took the goods for itself.  This is a strong attack on humanity, kindness and charity, which I strongly condemn.

Via- kann_news",,
I seriously don’t know how anyone can defend these people..,,
They don't even care that they are being filmed,,
"They just keep showing their true nature. Just like a brother said, ""I need to be more religious, as there is no way I am spending eternity in Hell with Israeli's."" May Allah unveil & awaken our hearts, minds, ears & eyes, so we turn to Him. Before Dajjals arrival!",,
This is textbook terrorism,,
His cries for his mom and dad it’s so horrible! This whole country must be dismantled. The beginning of the end they’re trying to make their final blow.,,
So twisted and sickening,,
"Serious, how are they not considered a terrorist state and organization at this point?",,
"Honestly, looks a lot like US policing.",,
This is Nazi Germany written all over it.,,
I seriously don’t know how anyone can defend these people..,,
They don't even care that they are being filmed,,
"They just keep showing their true nature. Just like a brother said, ""I need to be more religious, as there is no way I am spending eternity in Hell with Israeli's."" May Allah unveil & awaken our hearts, minds, ears & eyes, so we turn to Him. Before Dajjals arrival!",,
This is textbook terrorism,,
His cries for his mom and dad it’s so horrible! This whole country must be dismantled. The beginning of the end they’re trying to make their final blow.,,
So twisted and sickening,,
"Serious, how are they not considered a terrorist state and organization at this point?",,
"Honestly, looks a lot like US policing.",,
This is Nazi Germany written all over it.,,
choosen people by shaytan,,
"If we had iPhones & body cams in occupied Europe of the 1940s I wonder how similar these scenes would be; when the Gestapo came for Anne Frank's family, is this what it looked like?",,
Isrheil criminels de guerre !,,
Zionists,,
"If we had iPhones & body cams in occupied Europe of the 1940s I wonder how similar these scenes would be; when the Gestapo came for Anne Frank's family, is this what it looked like?",,
Isrheil criminels de guerre !,,
The real terorist,,
#IsraelTerorrist,,
Did occupiers give the children two bottle of water for propaganda?,,
How are the israelis are the ‘chosen people’ again?,,
"I am glad I could never get used to this. When I was younger I got desensitized with violence, but people can attain humanity if they work for it. We should never let go of our humanity and never forget.",,
True evil on the loose,,
Why can’t the palestinians seeing the incident grab whatever can and rushed to the rescue of a fellow friend!I am watching too much hollywood movie and expect can happen like in the movie .. haha.,,
"Lol, they didn't even bother faking a Hebrew accent  this is as real as your entire fake narrative",,
"Hello any Human there.....,,,,,,,,,,,,,,
Savages ,,,,,,,,,,,,,,
I am glad I could never get used to this. When I was younger I got desensitized with violence"," but people can attain humanity if they work for it. We should never let go of our humanity and never forget.""",
True evil on the loose,,
Why can’t the palestinians seeing the incident grab whatever can and rushed to the rescue of a fellow friend!I am watching too much hollywood movie and expect can happen like in the movie .. haha.,,
"Lol, they didn't even bother faking a Hebrew accent  this is as real as your entire fake narrative",,
Savages ,,
Chosen people ,,
Butchers,,
From the river to the sea Palestine will be free! ,,
"God is Sufficient for us, and He is the Best Trustee, the Best Helper, the Best Master, and the Best to rely upon. Khaybar, Khaybar, O Jews, the army of Muhammad will return, Allah is the Greatest, Allah is the Greatest, Allah is the Greatest.",,
And people are still asking why Al Aqsa Flood happened.,,
Oh my god,,
Restore the State of Palestine!,,
Boycott Netflix,,
Former US marine’s pro-Palestine interview resurfaces online,,
barbarians,,
If none of you know this is how hamas was created,,
Is that soldier wearing sneakers?,,
#IsraelTerrorism,,
Another proof,,
Once again we will repeat it never enough without their weapons they are nothing we saw it well in 1942,,
This is what happens to the Palestinians that are supposedly Free,,
In front of his children ,,
If none of you know this is how hamas was created,,
Is that soldier wearing sneakers?,,
#IsraelTerrorism,,
The IDF is a terrorist organization! That is all,,
"The fact that hours before they made palestinians pose with bottle waters and said ""we're not scum"" (which btw they're the ones depriving them of every basic need). At least wait some days or something.",,
US standards of civilization,,
"This is why the Palestinians in the West Bank must be armed. Instead of arming the people, the so-called “Palestinian” Authority does israel’s work for them.",,
I hate Israel the Nazi regime.,,
"Terrorists have often had young children participate in using explosives and weapons.  They are trained in #Hamas ""summer camps"" to do just that.  It's a sad reality.",,
"Hebron is not occupied, it's under PA.
Israel has 'security responsibility' to arrest people that threat to its country, and cause a risk in engaging terror.

I pity his daugther to have witness it, because her father chose to be a criminal.",,
Well done on the space Truth. Appreciate you,,
Thanks!! I appreciate you coming on.,,
Great news,,
But hamas made me do it ,,
Toddler among US hostages in Gaza – White House,,
The White House says that a three-year-old American whose parents were killed by Hamas is among the hostages in Gaza.,,
President Joe Biden raised  the issue of hostages including a toddler,," with a call…"""
i hope he won't get a heartattack or car-/swimmingaccident in the next time,,
Palestinians appreciate very much every effort that comes in support of their cause.,,
Why is not on our major news outlets????,,
"Good luck with that, Israel is doing everything by the book.",,
"Zionists mocking pro-Palestine protesters. Disgusting behaviour from disgusting people.

#palestine #savepalestine #savegaza #palestina #palestinian #jerusalem #children #israel #alquds #bds #islam #alaqsa #prayforpalestine #gazastrip #turkey #savepalestina #savealaqsa #muslim…",,
"Dua 

Mere we can do for Palestine is 
Make Dua
Make Dua for Palestine
It will make our brothers in Palestine victorious

God willing

#PrayForPalestine",,
"In memory of more than 10,000 martyrs of the Gaza Strip, a magnificent demonstration was held at Oslo Railway Station by Norwegians #FreePalaestine #PrayForPalestine #GazaUnderAttack #Gaza_Genocide 
",,
"Their mosques are being heated under the bombs, they're still not missing any prayers!

Our mosques are being cooled with fans and ACs, and we're still skipping all 5 prayers!
#JummahMubarak #PrayForPalestine",,
"Yemen  Stand with Palestine  

#WeStandWithPalestine
#PrayForPalestine
#IsraelisATerorristState",,
"#Assalamuwalaikum 
A father lost his four children; his world has come to an end. May Allah protect the people of Palestine. Amen  

#freepalestian 
#PrayForPalestine",,
"#Hezbollah's anti-ship #missiles, a little remedy for those pesky foreign #warships in the #Mediterranean
#PrayForPalestine #PalestineWillBeFree #Palestine ",,
"#AllahHuAkbar
Without a doubt, with courage and bravery, a grenade was thrown into the barrel of the tank, destroying it
#FreePalaestine #PrayForPalestine #GazaUnderAttack #Gaza_Genocide 
",,
"May Allah safeguard the people of Palestine, bless them with strength and resilience, and bring an end to their sufferings
 #PrayForPalestine #DivineProtection
#FreePalaestine 
#FreePalestine 
#WeStandWithPalestine 
#WeStandWithGaza
#FreePalestineFromIsrael",,
"Khalid bin al waleed Mosque was completely destroyed by Israeli shelling in khan Younis, Gaza.
#gazaunderattack #palastine 
#prayforgaza #prayforpalestine",,
"Gaza under heavy attack now.
5-11-23

#Palestine #PalestinianLivesMatter #prayforpalestine #gaza #Gazagenocide #IsrealPalestineconflict #PrayForPalestine #IsraelTerrorists #PalestineGenocide #PalestineWar #GazaHospital #IsraelAttack #GazaUnderAttack #GazaUnderSiege…",,
"More beautiful Zionist talk.
Would you like these people to live in your country?

#palestine #savepalestine #savegaza #palestina #palestinian #jerusalem #children #israel #alquds #bds #islam #alaqsa #prayforpalestine #gazastrip #turkey #savepalestina #savealaqsa #muslim…",,
"Are you not entertained enough?

#Palestine #PalestinianLivesMatter #prayforpalestine #gaza #Gazagenocide #IsrealPalestineconflict #PrayForPalestine #IsraelTerrorists #PalestineGenocide #PalestineWar #GazaHospital #IsraelAttack #GazaUnderAttack #GazaUnderSiege…",,
Highlights from last nights debate: We must condemn the terrorist group of HAMAS! #usa #hamasterrorists #hamaspalestine #palestine #nikkihaley #gop #gopdebate #israel #prayforpalestine #prayforisrael,,
The Quick Story About Israel Actions #FreePalaestine #ISLAM  #prayforpalestine #gazastrip #savepalestina #uk #unitedstates #unitedkingdom #northernireland #london #greatbritian #england #NYC #WashingtonDC #losangeles #sanfrancisco #chicago #longislandcity #Spain #Madrid #Berlin,,
"Our Patience is nothing…..
#prayforpalestine
#freepalestine",,
"#AllahHuAkbar

This is spain

#FreePalaestine #PrayForPalestine #GazaUnderAttack #Gaza_Genocide 
@IMshamstrz",,
"We are minutes away from death’: Gaza’s al-Shifa Hospital under attack

#FreePalestineFromIsrael #PrayForPalestine",,
":That was amazing and the real truth - you just nailed it, man. Our prayers are with Gaza and the Palestinian people. #StandWithGaza #PrayForPalestine” #USA #usataxe",,
