Comments,Unnamed: 1,Unnamed: 2,neg,neu,pos
These people are true fascists. We need to dismantle this apartheid atrocity.,,,0.965543270111084,0.03191565349698067,0.0025411020033061504
"They are not soldiers, they are EXTREMIST and EVILDOERS ",,,0.9164538383483887,0.0769495889544487,0.006596633233129978
"All dogs have their eyes on the $500 billion worth of gas, and everyone is eager for their share.",,,0.013234807178378105,0.21766340732574463,0.7691017985343933
Pray for palestine ,,,0.0927005186676979,0.7197349071502686,0.18756458163261414
Pray for palestine ,,,0.0927005186676979,0.7197349071502686,0.18756458163261414
Palestine must be freed,,,0.3460690677165985,0.5897954106330872,0.06413555890321732
Bullshit. Completely fake.,,,0.9657798409461975,0.030172107741236687,0.004048087168484926
"Not Israeli soldiers, not wearing standard or specialized issued IDF boots, Guess you forgot that little detail while producing the video.",,,0.7698336839675903,0.21674230694770813,0.01342406403273344
Busted!! #Pallywood Take number #47373  IDF soldiers with sport shoes and AliExpress vest ,,,0.5765812993049622,0.3894418179988861,0.033976878970861435
Free Palestine,,,0.19413210451602936,0.6677981615066528,0.13806979358196259
"A country that asserts its power is waging war against women, children and common citizens, the rules of war are being broken every day, and the world is silent even as the world watches, humanity is collapsing in the world. STOP THE GENOCIDE
#FreePalestine #FreeGazaNow",,,0.9513375163078308,0.045466482639312744,0.0031959551852196455
"It's important for Americans to pay attention to events like this one - not just in Israel and the West Bank, but around the world. Foreign policy and international affairs can have a big impact on American lives and our economy, whether it's through trade, immigration, nationalâ¦",,,0.1473025530576706,0.645531952381134,0.20716547966003418
IDF Soldiers laughing About Murdering the people of Gaza. *All the Detergent in the World cant make you Clean!*,,,0.919637143611908,0.07380267977714539,0.006560167297720909
Itâs kinda like this video:,,,0.051188454031944275,0.8075304627418518,0.1412811577320099
 An eye for an eye makes both sides blind. This will never end.,,,0.8367671966552734,0.15037040412425995,0.012862435542047024
The Hindutva gang members in India using Diwali festival crackers video of Delhi to equate and celebrate like that of Israel bombing of Gaza. twitter.com/SudarshanNewsTâ¦,,,0.5928288698196411,0.37774381041526794,0.029427293688058853
Donât care ,,,0.5037558078765869,0.4322732388973236,0.06397098302841187
 An eye for an eye makes both sides blind. This will never end.,,,0.8367671966552734,0.15037040412425995,0.012862435542047024
Liars.,,,0.9063372611999512,0.0808601900935173,0.012802506797015667
"Hamas brutally beat Gaza civilians who were tired of getting food from humanitarian aid trucks.  Hamas took the goods for itself.  This is a strong attack on humanity, kindness and charity, which I strongly condemn.

Via- kann_news",,,0.955134928226471,0.04179328307509422,0.0030718196649104357
I seriously donât know how anyone can defend these people..,,,0.958786129951477,0.037152208387851715,0.0040616123005747795
They don't even care that they are being filmed,,,0.7362844944000244,0.2509099245071411,0.012805601581931114
"They just keep showing their true nature. Just like a brother said, ""I need to be more religious, as there is no way I am spending eternity in Hell with Israeli's."" May Allah unveil & awaken our hearts, minds, ears & eyes, so we turn to Him. Before Dajjals arrival!",,,0.4577479958534241,0.46399426460266113,0.07825779169797897
This is textbook terrorism,,,0.9565898180007935,0.040450941771268845,0.00295920018106699
His cries for his mom and dad itâs so horrible! This whole country must be dismantled. The beginning of the end theyâre trying to make their final blow.,,,0.9677794575691223,0.029406169429421425,0.002814261242747307
So twisted and sickening,,,0.9638349413871765,0.03305038809776306,0.003114621853455901
"Serious, how are they not considered a terrorist state and organization at this point?",,,0.6851528286933899,0.3062024414539337,0.008644705638289452
"Honestly, looks a lot like US policing.",,,0.6161985993385315,0.36423784494400024,0.01956353336572647
This is Nazi Germany written all over it.,,,0.927424430847168,0.06761860102415085,0.004956947173923254
I seriously donât know how anyone can defend these people..,,,0.958786129951477,0.037152208387851715,0.0040616123005747795
They don't even care that they are being filmed,,,0.7362844944000244,0.2509099245071411,0.012805601581931114
"They just keep showing their true nature. Just like a brother said, ""I need to be more religious, as there is no way I am spending eternity in Hell with Israeli's."" May Allah unveil & awaken our hearts, minds, ears & eyes, so we turn to Him. Before Dajjals arrival!",,,0.4577479958534241,0.46399426460266113,0.07825779169797897
This is textbook terrorism,,,0.9565898180007935,0.040450941771268845,0.00295920018106699
His cries for his mom and dad itâs so horrible! This whole country must be dismantled. The beginning of the end theyâre trying to make their final blow.,,,0.9677794575691223,0.029406169429421425,0.002814261242747307
So twisted and sickening,,,0.9638349413871765,0.03305038809776306,0.003114621853455901
"Serious, how are they not considered a terrorist state and organization at this point?",,,0.6851528286933899,0.3062024414539337,0.008644705638289452
"Honestly, looks a lot like US policing.",,,0.6161985993385315,0.36423784494400024,0.01956353336572647
This is Nazi Germany written all over it.,,,0.927424430847168,0.06761860102415085,0.004956947173923254
choosen people by shaytan,,,0.0824926421046257,0.8672798275947571,0.050227586179971695
"If we had iPhones & body cams in occupied Europe of the 1940s I wonder how similar these scenes would be; when the Gestapo came for Anne Frank's family, is this what it looked like?",,,0.4213142693042755,0.5250095129013062,0.053676243871450424
