Comments,Unnamed: 1,Unnamed: 2,neg,neu,pos
These people are true fascists. We need to dismantle this apartheid atrocity.,,,0.2613959786596958,0.4585349048785377,0.2800691164617665
"They are not soldiers, they are EXTREMIST and EVILDOERS ",,,0.32410339063563987,0.44544000627298647,0.2304566030913736
"All dogs have their eyes on the $500 billion worth of gas, and everyone is eager for their share.",,,0.22888373799709258,0.46461735776243934,0.3064989042404681
Pray for palestine ,,,0.23258721666153626,0.37028214907892415,0.3971306342595396
Pray for palestine ,,,0.23258721666153626,0.37028214907892415,0.3971306342595396
Palestine must be freed,,,0.23263620035405597,0.3936553819616685,0.3737084176842756
Bullshit. Completely fake.,,,0.530460600141418,0.24907291526954825,0.2204664845890337
"Not Israeli soldiers, not wearing standard or specialized issued IDF boots, Guess you forgot that little detail while producing the video.",,,0.21194155761708544,0.5761168847658291,0.21194155761708544
Busted!! #Pallywood Take number #47373  IDF soldiers with sport shoes and AliExpress vest ,,,0.2213214850621828,0.5251144968385486,0.25356401809926854
Free Palestine,,,0.22646578112860352,0.2858862077981303,0.48764801107326605
"A country that asserts its power is waging war against women, children and common citizens, the rules of war are being broken every day, and the world is silent even as the world watches, humanity is collapsing in the world. STOP THE GENOCIDE
#FreePalestine #FreeGazaNow",,,0.30614403346908325,0.4650085017810819,0.22884746474983494
"It's important for Americans to pay attention to events like this one - not just in Israel and the West Bank, but around the world. Foreign policy and international affairs can have a big impact on American lives and our economy, whether it's through trade, immigration, nationalâ¦",,,0.22452766302722305,0.5413136768748742,0.23415866009790276
IDF Soldiers laughing About Murdering the people of Gaza. *All the Detergent in the World cant make you Clean!*,,,0.2780937268202946,0.4589577710255043,0.2629485021542013
Itâs kinda like this video:,,,0.23085680310905096,0.43957028220440764,0.3295729146865414
 An eye for an eye makes both sides blind. This will never end.,,,0.26930184903188564,0.5066563007217636,0.22404185024635076
The Hindutva gang members in India using Diwali festival crackers video of Delhi to equate and celebrate like that of Israel bombing of Gaza. twitter.com/SudarshanNewsTâ¦,,,0.2291330223036495,0.4618788920644462,0.3089880856319044
Donât care ,,,0.22669227936433492,0.28760657877196455,0.48570114186370056
 An eye for an eye makes both sides blind. This will never end.,,,0.26930184903188564,0.5066563007217636,0.22404185024635076
Liars.,,,0.5761168847658291,0.21194155761708544,0.21194155761708544
"Hamas brutally beat Gaza civilians who were tired of getting food from humanitarian aid trucks.  Hamas took the goods for itself.  This is a strong attack on humanity, kindness and charity, which I strongly condemn.

Via- kann_news",,,0.30307681810145254,0.4022148097295573,0.29470837216899004
I seriously donât know how anyone can defend these people..,,,0.26631173705139727,0.5101310055675643,0.22355725738103852
They don't even care that they are being filmed,,,0.2907159262843436,0.4821940334372876,0.22709004027836868
"They just keep showing their true nature. Just like a brother said, ""I need to be more religious, as there is no way I am spending eternity in Hell with Israeli's."" May Allah unveil & awaken our hearts, minds, ears & eyes, so we turn to Him. Before Dajjals arrival!",,,0.2585438266163936,0.4913050517885445,0.2501511215950619
This is textbook terrorism,,,0.4243295864702136,0.3439548778917994,0.2317155356379869
His cries for his mom and dad itâs so horrible! This whole country must be dismantled. The beginning of the end theyâre trying to make their final blow.,,,0.2824607603355557,0.4915381909769361,0.22600104868750834
So twisted and sickening,,,0.40293542836791446,0.36459105263963704,0.23247351899244842
"Serious, how are they not considered a terrorist state and organization at this point?",,,0.2502870513836119,0.45833871570174634,0.2913742329146419
"Honestly, looks a lot like US policing.",,,0.23214041832185953,0.3536622776965845,0.4141973039815559
This is Nazi Germany written all over it.,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
I seriously donât know how anyone can defend these people..,,,0.26631173705139727,0.5101310055675643,0.22355725738103852
They don't even care that they are being filmed,,,0.2907159262843436,0.4821940334372876,0.22709004027836868
"They just keep showing their true nature. Just like a brother said, ""I need to be more religious, as there is no way I am spending eternity in Hell with Israeli's."" May Allah unveil & awaken our hearts, minds, ears & eyes, so we turn to Him. Before Dajjals arrival!",,,0.2585438266163936,0.4913050517885445,0.2501511215950619
This is textbook terrorism,,,0.4243295864702136,0.3439548778917994,0.2317155356379869
His cries for his mom and dad itâs so horrible! This whole country must be dismantled. The beginning of the end theyâre trying to make their final blow.,,,0.2824607603355557,0.4915381909769361,0.22600104868750834
So twisted and sickening,,,0.40293542836791446,0.36459105263963704,0.23247351899244842
"Serious, how are they not considered a terrorist state and organization at this point?",,,0.2502870513836119,0.45833871570174634,0.2913742329146419
"Honestly, looks a lot like US policing.",,,0.23214041832185953,0.3536622776965845,0.4141973039815559
This is Nazi Germany written all over it.,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
choosen people by shaytan,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
"If we had iPhones & body cams in occupied Europe of the 1940s I wonder how similar these scenes would be; when the Gestapo came for Anne Frank's family, is this what it looked like?",,,0.21719768823910304,0.5493896553764387,0.2334126563844582
Isrheil criminels de guerre !,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
Zionists,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
"If we had iPhones & body cams in occupied Europe of the 1940s I wonder how similar these scenes would be; when the Gestapo came for Anne Frank's family, is this what it looked like?",,,0.21719768823910304,0.5493896553764387,0.2334126563844582
Isrheil criminels de guerre !,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
The real terorist,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
#IsraelTerorrist,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
Did occupiers give the children two bottle of water for propaganda?,,,0.26366888533047994,0.5132146063811583,0.22311650828836174
How are the israelis are the âchosen peopleâ again?,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
"I am glad I could never get used to this. When I was younger I got desensitized with violence, but people can attain humanity if they work for it. We should never let go of our humanity and never forget.",,,0.2382393573287972,0.514541324282142,0.2472193183890607
True evil on the loose,,,0.420860443648774,0.2795835825373229,0.29955597381390303
Why canât the palestinians seeing the incident grab whatever can and rushed to the rescue of a fellow friend!I am watching too much hollywood movie and expect can happen like in the movie .. haha.,,,0.22618881253390644,0.48998270970460317,0.2838284777614904
"Lol, they didn't even bother faking a Hebrew accent  this is as real as your entire fake narrative",,,0.26864626787673335,0.41132988190807795,0.32002385021518864
"Hello any Human there.....,,,,,,,,,,,,,,
Savages ,,,,,,,,,,,,,,
I am glad I could never get used to this. When I was younger I got desensitized with violence"," but people can attain humanity if they work for it. We should never let go of our humanity and never forget.""",,0.30301768779395605,0.43825072555058114,0.2587315866554628
True evil on the loose,,,0.420860443648774,0.2795835825373229,0.29955597381390303
Why canât the palestinians seeing the incident grab whatever can and rushed to the rescue of a fellow friend!I am watching too much hollywood movie and expect can happen like in the movie .. haha.,,,0.22618881253390644,0.48998270970460317,0.2838284777614904
